E vs I 질문,,S vs N 질문,,T vs F 질문,,J / P 질문
"드디어 금요일 밤!! 🔥 이번 주 진짜 고생했어ㅠㅠ
너한테 완벽한 '불금'은 어떤 모습이야? (상상만 해도 좋다...🤤)",,"짜잔! 멍 때리기 딱 좋은 구름 사진이야 ☁️
(사진 전송)
이거 보니까 무슨 생각 들어? (솔직하게! ㅋㅋ)",,"(긴급상황) 친구가 우울해서 머리 잘랐다고 사진을 보냈어 💇‍♀️
근데... 솔직히 좀... 이상해 (망한 듯..)
뭐라고 답장할 거야?",,"내일 드디어 기다리던 해외여행 날이야! ✈️
지금 네 캐리어 상태는 어때? (솔직히 말해봐 ㅋㅋ)"
"파티에 딱 도착했는데... 헐 😱 아는 사람이 한 명도 없는 거야!
10분 뒤에 넌 뭐 하고 있을 거 같아?",,"큰일 났어!! 좀비 바이러스가 퍼져서 세상이 망해간대!! 🧟‍♂️
딱 하나만 챙겨서 튈 수 있다면 뭘 가져갈 거야?
그리고 그걸 챙긴 이유는 뭐야??",,"운전하다가 접촉 사고가 났어! 🚗💥 (쾅!)
상대방이 내리면서 뒷목을 잡네...
이때 머릿속에 가장 먼저 드는 생각은?",,"주말에 큰맘 먹고 맛집 갔는데... 문을 닫았어! (휴무일 아님) 😨
이럴 때 너의 리얼 반응은?"
"여행 가서 숙소 도착! 다들 방전 상태인데 😵‍💫
갑자기 친구가 ""야, 편의점 갈 사람?"" 이라고 물어보네?
넌 어떻게 할 거야?",,"너한테 갑자기 100억 원이 뚝 떨어졌어!! 💸
(상상만 해도 행복..🤤) 
가장 먼저 뭐부터 플렉스(FLEX) 할 거야?",,"네가 팀장이야. 팀원은 정말 착하고 성실한데...
일을 너무 못해서 팀 전체가 야근 중이야 🤯
너라면 어떻게 할 거야?",,"치킨 시켜 먹으려고 배달 앱을 켰어! 🍗
메뉴 고르는 너만의 스타일은?"
"모르는 사람들만 있는 단톡방에 초대됐어! 📱
딱 들어갔을 때, 너는 보통 어떻게 행동해?",,"친구가 뜬금없이 ""너 요즘 좀 달라진 것 같아..."" 라고 하면? 🤔
이 말 딱 들었을 때! 넌 무슨 생각부터 들어?",,"친한 친구가 ""아, 나 요즘 진짜 너무 힘들다..."" 라고 하소연해.
네 입에서 가장 먼저 나오는 말은?",,"지금 딱! 너의 방이나 책상 상태를
가장 잘 설명하는 말은 뭐야? 🧹"
"친구가 카톡으로 ""나 오늘 갑자기 시간 빔!"" 이랬을 때,
머릿속에 가장 먼저 드는 생각은 뭐야?",,"친구가 ""나 오늘 좀 달라진 거 없어?"" 라고 물어봄! 😱
(이거 비상사태임 삐뽀삐뽀🚨)
넌 친구의 어디부터 스캔해?",,"친구랑 말싸움(논쟁)이 붙었어! 🔥
네가 **'이겼다!'**고 느끼는 순간은 언제야?",,"친구랑 7시에 만나기로 했어 🕖
너는 보통 약속 장소에 언제쯤 도착해?"
"오랜만에 시끌벅적한 축제 다녀왔어! 🎶 (둠칫둠칫)
집에 딱 돌아왔을 때, 네 에너지 상태는 어때?",,"어떤 일을 딱 시작할 때, '아, 이건 무조건 된다!' 싶은 느낌!
넌 보통 어떤 순간에 그런 확신을 느껴? ✨",,"누가 봐도 비효율적인 방법으로 일하는 사람을 봤어.
(아니 저걸 왜 저렇게 하지..? 답답..😤)
그때 드는 솔직한 생각은?",,"이번에 복잡한 가전제품(또는 게임)을 새로 샀어! 🎮
설명서... 읽어? 안 읽어?"
"드디어 점심시간!! 🍔
오늘 점심은 어떤 분위기에서 먹고 싶어? (혼밥? 회식?)",,"새로 생긴 핫한 식당에 다녀왔어! 🍽️
안 가본 친구가 어땠냐고 물어보면 뭐라고 설명해 줄 거야?",,"친구 생일 선물을 고를 때! 🎁
가장 신경 써서 고르는 포인트는 뭐야?",,"친구가 뜬금없이 ""야, 지금 당장 바다 보러 갈래?"" 라고 꼬셔 🌊
너의 반응은?"
"주말에 뒹굴고 있는데 친구한테 ""지금 시간 돼?"" 연락 오면?! 📱
솔직히 어떤 생각부터 들어?",,지인이 영화 추천해달라고 하면 어떤 기준으로 추천하는 편이?,,"(이건 전설의 질문 ㅋㅋ)
친구가 ""나 우울해서 빵 샀어 🍞"" 라고 했어.
너의 반응은?",,"친구랑 저녁 먹기로 했는데 어디 갈지 안 정했어.
만나서 어떻게 정하는 편이야?"
"너 인스타 같은 SNS 자주 해? 📸
피드에 주로 어떤 사진 올리는 편이야?",,"길 가다가 엄청~~ 오래된 나무 한 그루를 발견했어 🌳
그 나무를 보고 있으면 무슨 생각이 들어?",,"슬픈 영화를 보고 나왔는데 옆에 친구가 펑펑 울고 있어 😭
그때 넌 어떻게 해? (솔직히!)",,"너의 컴퓨터 바탕화면... 💻
지금 어떤 상태인지 이실직고해라!"
"택시 탔는데 기사님이 스몰토크 시동 거심... 🚕
계속 말 거실 때 넌 어떻게 반응해?",,"큰맘 먹고 산 새 옷 입고 첫 외출! 👗✨
문밖을 나설 때 뭐가 제일 신경 쓰여?",,"연애 상담 중! 친구가 ""남친(여친)이 연락을 잘 안 해.."" 라네?
이때 너의 리얼 반응은?",,요리할 때 🍳 레시피(조리법) 철저히 지키는 편이야?
"자, 집중해야 할 때! 빡공 모드 ON 📚
넌 시끌벅적 카페 vs 조용한 집, 어디가 더 잘 돼?",,"혹시 어제 꾼 꿈 기억나? 🌙
(개꿈이라도 좋아ㅋㅋ)
나한테 어떤 내용인지 살짝 이야기해 줄 수 있어?",,"선물을 받았는데... 완전 네 취향이 아니야 😰
표정 관리하면서 뭐라고 말할 거야?",,"마트 장 보러 갈 때! 🛒
미리 적어둔 리스트 대로만 사는 편이야?"
"길 가다가 ""어? 아는 사람이다!"" 😲
근데 막 엄청 친하진 않아. 이럴 때 넌 어떻게 해?",,"집(또는 내 방)을 새로 꾸민다면! 🏠
넌 어떤 걸 제일 중요하게 고민해?",,"친구가 ""나 다이어트 중!"" 이라면서 케이크를 막 퍼먹고 있어 🍰
그때 친구에게 던지는 한마디는?",,"중요한 과제(업무) 마감이 일주일 남았어. 📅
너의 작업 스타일은?"
"오늘 대박 좋은 일이 생겼어 🎉 (복권 당첨급?!)
제일 먼저 뭐부터 할 거야?",,"선물이야! 반짝반짝 별이 쏟아지는 사진 ✨
(사진 전송)
이거 보니까 지금 딱! 떠오르는 생각은?",,"친구가 옷을 샀는데 솔직히 핏이 좀 별로야... 😓
근데 친구는 맘에 들어 하는 눈치네?
이때 속으로 무슨 생각해?",,"카톡이나 메일 앱에 뜬 빨간 숫자(알림 배지) 🔴
이거 보면 어떤 기분 들어?"
"단톡방에서 야심 차게 드립 쳤는데... 아무도 대답이 없어... 🍂
이때 너의 기분은? (상처받았니..?)",,"너 노래 들을 때 가사 집중해서 듣는 편이야? 🎧
주로 어떤 가사가 너한테 '미쳤다...' 하고 꽂혀?",,"네가 큰 실수를 해서 사과해야 하는 상황이야 🙏
장문의 카톡을 보낸다면, 어떤 내용이 주가 될까?",,너는 '해야 할 일 목록(To-do List)' 적는 거 좋아해? 📝
